Element, data.x, data.y, data.z, data.w
113,  0.3890518,  0.3890518,  0.3890518,  0.00
114,  0.39393941,  0.39393941,  0.39393941,  0.00
115,  0.39784947,  0.39784947,  0.39784947,  0.00
116,  0.40175954,  0.40175954,  0.40175954,  0.00
117,  0.4056696,  0.4056696,  0.4056696,  0.00
118,  0.41055718,  0.41055718,  0.41055718,  0.00
119,  0.41446725,  0.41446725,  0.41446725,  0.00
120,  0.41837731,  0.41837731,  0.41837731,  0.00
121,  0.4222874,  0.4222874,  0.4222874,  0.00
122,  0.42717499,  0.42717499,  0.42717499,  0.00
123,  0.43108505,  0.43108505,  0.43108505,  0.00
124,  0.43499511,  0.43499511,  0.43499511,  0.00
125,  0.43890518,  0.43890518,  0.43890518,  0.00
126,  0.44379276,  0.44379276,  0.44379276,  0.00
127,  0.44770283,  0.44770283,  0.44770283,  0.00
128,  0.45161289,  0.45161289,  0.45161289,  0.00
129,  0.45552298,  0.45552298,  0.45552298,  0.00
130,  0.46041057,  0.46041057,  0.46041057,  0.00
131,  0.46432063,  0.46432063,  0.46432063,  0.00
132,  0.46823069,  0.46823069,  0.46823069,  0.00
133,  0.47311828,  0.47311828,  0.47311828,  0.00
134,  0.47702834,  0.47702834,  0.47702834,  0.00
135,  0.4809384,  0.4809384,  0.4809384,  0.00
136,  0.4848485,  0.4848485,  0.4848485,  0.00
137,  0.48973608,  0.48973608,  0.48973608,  0.00
138,  0.49364614,  0.49364614,  0.49364614,  0.00
139,  0.49755621,  0.49755621,  0.49755621,  0.00
140,  0.50244379,  0.50244379,  0.50244379,  0.00
141,  0.50635386,  0.50635386,  0.50635386,  0.00
142,  0.51026392,  0.51026392,  0.51026392,  0.00
143,  0.5151515,  0.5151515,  0.5151515,  0.00
144,  0.51906157,  0.51906157,  0.51906157,  0.00
145,  0.52297163,  0.52297163,  0.52297163,  0.00
146,  0.52688169,  0.52688169,  0.52688169,  0.00
147,  0.53176934,  0.53176934,  0.53176934,  0.00
148,  0.5356794,  0.5356794,  0.5356794,  0.00
149,  0.53958946,  0.53958946,  0.53958946,  0.00
150,  0.54447705,  0.54447705,  0.54447705,  0.00
151,  0.54838711,  0.54838711,  0.54838711,  0.00
152,  0.55229717,  0.55229717,  0.55229717,  0.00
153,  0.55718476,  0.55718476,  0.55718476,  0.00
154,  0.56109482,  0.56109482,  0.56109482,  0.00
155,  0.56500489,  0.56500489,  0.56500489,  0.00
156,  0.56989247,  0.56989247,  0.56989247,  0.00
157,  0.57380253,  0.57380253,  0.57380253,  0.00
158,  0.5777126,  0.5777126,  0.5777126,  0.00
159,  0.58260018,  0.58260018,  0.58260018,  0.00
160,  0.58651024,  0.58651024,  0.58651024,  0.00
161,  0.59042031,  0.59042031,  0.59042031,  0.00
162,  0.59530795,  0.59530795,  0.59530795,  0.00
163,  0.59921801,  0.59921801,  0.59921801,  0.00
164,  0.60410559,  0.60410559,  0.60410559,  0.00
165,  0.60801566,  0.60801566,  0.60801566,  0.00
166,  0.61192572,  0.61192572,  0.61192572,  0.00
167,  0.6168133,  0.6168133,  0.6168133,  0.00
168,  0.62072337,  0.62072337,  0.62072337,  0.00
169,  0.62463343,  0.62463343,  0.62463343,  0.00
170,  0.63049853,  0.63049853,  0.63049853,  0.00
171,  0.63440859,  0.63440859,  0.63440859,  0.00
172,  0.63929617,  0.63929617,  0.63929617,  0.00
173,  0.64320624,  0.64320624,  0.64320624,  0.00
174,  0.6471163,  0.6471163,  0.6471163,  0.00
175,  0.65200388,  0.65200388,  0.65200388,  0.00
176,  0.65591395,  0.65591395,  0.65591395,  0.00
177,  0.65982407,  0.65982407,  0.65982407,  0.00
178,  0.66471165,  0.66471165,  0.66471165,  0.00
179,  0.66862172,  0.66862172,  0.66862172,  0.00
180,  0.6735093,  0.6735093,  0.6735093,  0.00
181,  0.67741936,  0.67741936,  0.67741936,  0.00
182,  0.68132943,  0.68132943,  0.68132943,  0.00
183,  0.68621701,  0.68621701,  0.68621701,  0.00
184,  0.69012707,  0.69012707,  0.69012707,  0.00
185,  0.69403714,  0.69403714,  0.69403714,  0.00
186,  0.69892472,  0.69892472,  0.69892472,  0.00
187,  0.70283478,  0.70283478,  0.70283478,  0.00
188,  0.70772237,  0.70772237,  0.70772237,  0.00
189,  0.71163243,  0.71163243,  0.71163243,  0.00
190,  0.7155425,  0.7155425,  0.7155425,  0.00
191,  0.72043014,  0.72043014,  0.72043014,  0.00
192,  0.7243402,  0.7243402,  0.7243402,  0.00
193,  0.72922778,  0.72922778,  0.72922778,  0.00
194,  0.73313785,  0.73313785,  0.73313785,  0.00
195,  0.73704791,  0.73704791,  0.73704791,  0.00
196,  0.74193549,  0.74193549,  0.74193549,  0.00
197,  0.74584556,  0.74584556,  0.74584556,  0.00
198,  0.75073314,  0.75073314,  0.75073314,  0.00
199,  0.7546432,  0.7546432,  0.7546432,  0.00
200,  0.75953078,  0.75953078,  0.75953078,  0.00
201,  0.76344085,  0.76344085,  0.76344085,  0.00
202,  0.76735091,  0.76735091,  0.76735091,  0.00
203,  0.77223849,  0.77223849,  0.77223849,  0.00
204,  0.77614856,  0.77614856,  0.77614856,  0.00
205,  0.78103614,  0.78103614,  0.78103614,  0.00
206,  0.78494626,  0.78494626,  0.78494626,  0.00
207,  0.78983384,  0.78983384,  0.78983384,  0.00
208,  0.79374391,  0.79374391,  0.79374391,  0.00
209,  0.79765397,  0.79765397,  0.79765397,  0.00
210,  0.80254155,  0.80254155,  0.80254155,  0.00
211,  0.80645162,  0.80645162,  0.80645162,  0.00
212,  0.8113392,  0.8113392,  0.8113392,  0.00
213,  0.81524926,  0.81524926,  0.81524926,  0.00
214,  0.82013685,  0.82013685,  0.82013685,  0.00
215,  0.82404691,  0.82404691,  0.82404691,  0.00
216,  0.82795697,  0.82795697,  0.82795697,  0.00
217,  0.83284456,  0.83284456,  0.83284456,  0.00
218,  0.83675462,  0.83675462,  0.83675462,  0.00
219,  0.8416422,  0.8416422,  0.8416422,  0.00
220,  0.84555233,  0.84555233,  0.84555233,  0.00
221,  0.85043991,  0.85043991,  0.85043991,  0.00
222,  0.85434997,  0.85434997,  0.85434997,  0.00
223,  0.85923755,  0.85923755,  0.85923755,  0.00
224,  0.86314762,  0.86314762,  0.86314762,  0.00
225,  0.8680352,  0.8680352,  0.8680352,  0.00
226,  0.87194526,  0.87194526,  0.87194526,  0.00
227,  0.87585533,  0.87585533,  0.87585533,  0.00
228,  0.88074291,  0.88074291,  0.88074291,  0.00
229,  0.88465297,  0.88465297,  0.88465297,  0.00
230,  0.88954055,  0.88954055,  0.88954055,  0.00
231,  0.89345062,  0.89345062,  0.89345062,  0.00
232,  0.8983382,  0.8983382,  0.8983382,  0.00
233,  0.90224826,  0.90224826,  0.90224826,  0.00
234,  0.9071359,  0.9071359,  0.9071359,  0.00
235,  0.91104597,  0.91104597,  0.91104597,  0.00
236,  0.91593355,  0.91593355,  0.91593355,  0.00
237,  0.91984361,  0.91984361,  0.91984361,  0.00
238,  0.92473119,  0.92473119,  0.92473119,  0.00
239,  0.92864126,  0.92864126,  0.92864126,  0.00
240,  0.93352884,  0.93352884,  0.93352884,  0.00
241,  0.93743891,  0.93743891,  0.93743891,  0.00
242,  0.94134897,  0.94134897,  0.94134897,  0.00
